12487102;HYDREA 500 MG HARTKAPSELN;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12487119;IMPLANON NXT IMPLANTAT;+ Alpha Pharmaceuticals GmbH;IMP;2019-02-15;YES
12487125;INSPRA 25 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487131;INSPRA 25 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487148;INSPRA 50 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487154;MADOPAR DEPOT;+ Alpha Pharmaceuticals GmbH;REK;2019-02-15;YES
12487183;NEXIUM 40 MG;+ Alpha Pharmaceuticals GmbH;TMR;2019-02-15;YES
12487208;PROGRAF 0.5 MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12487214;PROGRAF 0.5 MG;+ Alpha Pharmaceuticals GmbH;HKP;2019-02-15;YES
12487220;PULMOZYME 2.500 E./2.5 ML;+ Alpha Pharmaceuticals GmbH;IHA;2019-02-15;YES
12487237;RISPERDAL CONSTA 25 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487266;RISPERDAL CONSTA 25 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487272;RISPERDAL CONSTA 37.5 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487303;RISPERDAL CONSTA 37.5 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487326;RISPERDAL CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487355;RISPERDAL CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487361;RISPERDAL CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487378;RISPOLEPT CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487384;RISPOLEPT CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487390;RISPOLEPT CONSTA 50 MG;+ Alpha Pharmaceuticals GmbH;PLI;2019-02-15;YES
12487415;SALOFALK 500MG;+ Alpha Pharmaceuticals GmbH;SUP;2019-02-15;YES
12487421;SALOFALK 500MG;+ Alpha Pharmaceuticals GmbH;TMR;2019-02-15;YES
12487473;SPIRIVA RESPIMAT 2.5 UG;+ Alpha Pharmaceuticals GmbH;INL;2019-02-15;YES
12487496;SPIRIVA RESPIMAT 2.5 UG;+ Alpha Pharmaceuticals GmbH;INL;2019-02-15;YES
12487504;SPIRIVA RESPIMAT 2.5 UG;+ Alpha Pharmaceuticals GmbH;INL;2019-02-15;YES
12487510;SUPREFACT DEPOT 3MONATSIMP;+ Alpha Pharmaceuticals GmbH;IMP;2019-02-15;YES
12487527;SUPREFACT DEPOT 3MONATSIMP;+ Alpha Pharmaceuticals GmbH;IMP;2019-02-15;YES
12487556;VALCYTE 450MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487562;VESICARE 5 MG;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487645;ZOLADEX 10.8MG 3MONATSDEPO;+ Alpha Pharmaceuticals GmbH;IMP;2019-02-15;YES
12487651;ZOLADEX 10.8MG 3MONATSDEPO;+ Alpha Pharmaceuticals GmbH;IMP;2019-02-15;YES
12487668;ZYVOXID 600MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
12487674;ZYVOXID 600MG FILMTABL;+ Alpha Pharmaceuticals GmbH;FTA;2019-02-15;YES
